Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",402,3,1uF,C326568
C3,603,1,4.7uF,C277476
C4,603,1,22uF,C109447
D1,402,1,LED,C434449
J1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Conn_01x03,C160389
"J2, J3",JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,2,Conn_01x02,C160388
L1,INDP4040X180N,1,2.2uH,C167825
R1,402,1,1K,C106235
R2,402,1,1.5K,C105872
R3,402,1,300K,C138011
R4,402,1,200K,C114763
U1,SOT95P280X145-6N,1,BQ21040DBVR,C202311
U2,SOT-23-5,1,TLV62569DBV,C141836
